Timestamp;Station;Linie;Einsteiger;Aussteiger;Avg
0;ABG;S3;82140;86772;84456
0;AH;S21;232655;239766;236211
0;AI;S1;420183;415447;417815
0;ALH;S2;66652;61292;63972
0;ALH;S21;720386;779794;750090
0;AS;S1;2179558;2242416;2210987
0;AS;S11;180644;207753;194199
0;AS;S2;31141;46374;38758
0;AS;S3;939416;1053262;996339
0;AS;S31;1051627;1109565;1080596
0;AW;S1;1344639;1372833;1358736
0;AW;S11;131309;115846;123578
0;B;S1;1442737;1559233;1500985
0;B;S11;82271;84301;83286
0;BAF;S1;1669554;1672654;1671104
0;BAF;S11;163628;155352;159490
0;BAP;S1;1733062;1843956;1788509
0;BAP;S11;163739;192523;178131
0;BGS;S2;44373;37491;40932
0;BGS;S21;756124;788993;772559
0;BTSL;S1;1668940;1722890;1695915
0;BTSL;S11;171435;180133;175784
0;BTSL;S2;62628;73849;68239
0;BTSL;S21;853005;865733;859369
0;BTSL;S31;220190;221521;220856
0;BWM;S2;49219;47791;48505
0;BWM;S21;585962;618701;602332
0;BX;S3;326385;323282;324834
0;DR;S3;108478;92464;100471
0;DST;S11;179990;182720;181355
0;DST;S21;810255;867345;838800
0;DST;S31;1720623;1623422;1672023
0;DT;S21;637356;606914;622135
0;DT;S3;567264;708959;638112
0;EGS;S21;433054;467940;450497
0;EGS;S3;654963;668993;661978
0;EST;S21;636608;554011;595310
0;EST;S3;573606;664139;618873
0;FB;S1;1447157;1486272;1466715
0;FB;S11;109966;112331;111149
0;FBG;S1;1624570;1573216;1598893
0;FBG;S11;160909;159413;160161
0;FIB;S3;228718;183526;206122
0;HAB;S3;879806;849414;864610
0;HAB;S31;1279817;1287369;1283593
0;HCH;S1;518783;586144;552464
0;HCH;S11;46659;58528;52594
0;HFS;S3;815761;860455;838108
0;HFS;S31;415099;404730;409915
0;HKS;S3;456047;460778;458413
0;HOG;S3;167520;173396;170458
0;HPS;S1;908858;1002230;955544
0;HPS;S11;91648;79987;85818
0;HRF;S3;953746;988361;971054
0;HRF;S31;968341;1140984;1054663
0;HRS;S3;964153;935115;949634
0;HRS;S31;1327835;1351904;1339870
0;HS;S1;2256673;2392512;2324593
0;HS;S11;213268;220553;216911
0;HS;S2;85977;86837;86407
0;HS;S21;996633;1136612;1066623
0;HS;S3;888617;936060;912339
0;HS;S31;1924660;2024259;1974460
0;HSB;S1;1640867;1665276;1653072
0;HSB;S11;164041;169012;166527
0;HST;S11;188184;162904;175544
0;HST;S21;743562;858879;801221
0;HST;S31;1690967;1631514;1661241
0;IS;S1;868204;901820;885012
0;JUS;S1;1884841;1953766;1919304
0;JUS;S2;71274;69792;70533
0;JUS;S3;1001339;1064221;1032780
0;KRS;S3;409356;441418;425387
0;KS;S1;1470749;1668372;1569561
0;KS;S2;62001;33912;47957
0;KS;S3;756294;816427;786361
0;KWS;S1;658092;696142;677117
0;KWS;S11;63891;77193;70542
0;LAN;S1;1615167;1679386;1647277
0;LAN;S11;169201;171137;170169
0;LAS;S1;1566360;1615255;1590808
0;LAS;S2;56877;63526;60202
0;LAS;S3;793772;805227;799500
0;LST;S21;610316;529322;569819
0;LST;S3;567865;680534;624200
0;ML;S2;46503;57559;52031
0;ML;S21;570679;629276;599978
0;NL;S3;105454;88840;97147
0;NRS;S3;643881;653938;648910
0;NRS;S31;234814;285698;260256
0;NTB;S2;65104;71326;68215
0;NTB;S21;808700;788332;798516
0;NWF;S3;354062;353585;353824
0;NWS;S3;786678;828186;807432
0;NWS;S31;387289;304032;345661
0;OH;S1;1656229;1653550;1654890
0;OH;S11;139552;129120;134336
0;OPS;S1;1845346;1848844;1847095
0;OPS;S11;150333;182922;166628
0;PB;S1;549244;587268;568256
0;PB;S11;80671;68821;74746
0;PS;S3;340409;377290;358850
0;RBK;S21;368417;355544;361981
0;RES;S1;1753686;1667424;1710555
0;RES;S2;64071;45332;54702
0;RES;S3;753268;875543;814406
0;RI;S1;875672;900345;888009
0;ROP;S2;53604;50333;51969
0;ROP;S21;670067;713310;691689
0;RP;S1;1678997;1618676;1648837
0;RP;S11;161283;164789;163036
0;SDF;S1;751933;784949;768441
0;SHS;S1;1523015;1679649;1601332
0;SHS;S2;61813;56286;59050
0;SHS;S3;779944;821480;800712
0;SST;S11;163062;190724;176893
0;SST;S21;732178;777042;754610
0;SST;S31;1577060;1608979;1593020
0;ST;S3;114371;115169;114770
0;STS;S21;619616;510010;564813
0;STS;S3;617218;741423;679321
0;THS;S3;422375;458340;440358
0;TK;S2;52931;52341;52636
0;TK;S21;534291;590909;562600
0;VLS;S3;909407;911671;910539
0;VLS;S31;1244207;1280754;1262481
0;WBS;S1;743319;787150;765235
0;WBS;S11;88564;87573;88069
0;WCH;S1;1682678;1745450;1714064
0;WCH;S11;145605;174192;159899
0;WFS;S3;879815;936611;908213
0;WFS;S31;1242887;1268521;1255704
0;WL;S1;671074;658755;664915
0;WLF;S21;229084;200258;214671
