Timestamp;Station;Linie;Einsteiger;Aussteiger;Avg
2016-12-01;ABG;S3;18026;21568;19797
2016-12-01;AH;S21;46356;47270;46813
2016-12-01;AI;S1;82244;80546;81395
2016-12-01;ALH;S2;12732;10516;11624
2016-12-01;ALH;S21;150347;158755;154551
2016-12-01;AS;S1;413929;416140;415035
2016-12-01;AS;S11;36567;37358;36963
2016-12-01;AS;S2;5691;7900;6796
2016-12-01;AS;S3;244362;266585;255474
2016-12-01;AS;S31;228957;257303;243130
2016-12-01;AW;S1;247102;245110;246106
2016-12-01;AW;S11;24361;23446;23904
2016-12-01;B;S1;274611;301986;288299
2016-12-01;B;S11;16023;15313;15668
2016-12-01;BAF;S1;314427;314321;314374
2016-12-01;BAF;S11;28600;25304;26952
2016-12-01;BAP;S1;333478;360726;347102
2016-12-01;BAP;S11;31827;35843;33835
2016-12-01;BGS;S2;7989;6980;7485
2016-12-01;BGS;S21;149954;160655;155305
2016-12-01;BTSL;S1;313261;322470;317866
2016-12-01;BTSL;S11;31811;32088;31950
2016-12-01;BTSL;S2;10299;12874;11587
2016-12-01;BTSL;S21;169777;172331;171054
2016-12-01;BTSL;S31;49119;42726;45923
2016-12-01;BWM;S2;8175;7417;7796
2016-12-01;BWM;S21;112108;125796;118952
2016-12-01;BX;S3;80774;78718;79746
2016-12-01;DR;S3;29704;24991;27348
2016-12-01;DST;S11;35597;35890;35744
2016-12-01;DST;S21;161956;175702;168829
2016-12-01;DST;S31;396315;383449;389882
2016-12-01;DT;S21;121861;124834;123348
2016-12-01;DT;S3;138411;191752;165082
2016-12-01;EGS;S21;85645;90992;88319
2016-12-01;EGS;S3;173834;184135;178985
2016-12-01;EST;S21;130029;112047;121038
2016-12-01;EST;S3;142310;170141;156226
2016-12-01;FB;S1;267497;275934;271716
2016-12-01;FB;S11;20189;19094;19642
2016-12-01;FBG;S1;308670;290119;299395
2016-12-01;FBG;S11;30675;27475;29075
2016-12-01;FIB;S3;55773;44563;50168
2016-12-01;HAB;S3;225505;219125;222315
2016-12-01;HAB;S31;289837;307794;298816
2016-12-01;HCH;S1;90833;104569;97701
2016-12-01;HCH;S11;9721;11175;10448
2016-12-01;HFS;S3;203714;222531;213123
2016-12-01;HFS;S31;93189;90449;91819
2016-12-01;HKS;S3;125979;125713;125846
2016-12-01;HOG;S3;37642;39280;38461
2016-12-01;HPS;S1;154895;182594;168745
2016-12-01;HPS;S11;16601;12748;14675
2016-12-01;HRF;S3;236892;252756;244824
2016-12-01;HRF;S31;218022;256445;237234
2016-12-01;HRS;S3;255165;252408;253787
2016-12-01;HRS;S31;311291;306905;309098
2016-12-01;HS;S1;434733;458514;446624
2016-12-01;HS;S11;40244;40522;40383
2016-12-01;HS;S2;15630;15400;15515
2016-12-01;HS;S21;198971;229666;214319
2016-12-01;HS;S3;228844;257944;243394
2016-12-01;HS;S31;445670;446135;445903
2016-12-01;HSB;S1;312288;313992;313140
2016-12-01;HSB;S11;33613;29611;31612
2016-12-01;HST;S11;33176;29970;31573
2016-12-01;HST;S21;149592;172257;160925
2016-12-01;HST;S31;389285;374915;382100
2016-12-01;IS;S1;162426;161026;161726
2016-12-01;JUS;S1;370471;399191;384831
2016-12-01;JUS;S2;11993;11955;11974
2016-12-01;JUS;S3;264857;284881;274869
2016-12-01;KRS;S3;109113;117277;113195
2016-12-01;KS;S1;259687;309934;284811
2016-12-01;KS;S2;10104;6070;8087
2016-12-01;KS;S3;192251;214782;203517
2016-12-01;KWS;S1;121113;126226;123670
2016-12-01;KWS;S11;12060;16036;14048
2016-12-01;LAN;S1;306023;321105;313564
2016-12-01;LAN;S11;33558;31288;32423
2016-12-01;LAS;S1;290918;312617;301768
2016-12-01;LAS;S2;9815;10677;10246
2016-12-01;LAS;S3;202284;210390;206337
2016-12-01;LST;S21;122696;108589;115643
2016-12-01;LST;S3;145230;171647;158439
2016-12-01;ML;S2;6495;9466;7981
2016-12-01;ML;S21;107269;120674;113972
2016-12-01;NL;S3;25876;24572;25224
2016-12-01;NRS;S3;166986;163567;165277
2016-12-01;NRS;S31;54807;64281;59544
2016-12-01;NTB;S2;11347;10377;10862
2016-12-01;NTB;S21;158535;158392;158464
2016-12-01;NWF;S3;82899;79640;81270
2016-12-01;NWS;S3;206874;211595;209235
