Timestamp;Station;Linie;Einsteiger;Aussteiger;Avg
2016-12-12;ABG;S3;6613;8985;7799
2016-12-12;AH;S21;17312;16322;16817
2016-12-12;AI;S1;21603;19215;20409
2016-12-12;ALH;S2;3628;2965;3297
2016-12-12;ALH;S21;51519;57676;54598
2016-12-12;AS;S1;115138;118232;116685
2016-12-12;AS;S11;10768;12760;11764
2016-12-12;AS;S2;1475;2485;1980
2016-12-12;AS;S3;88560;97176;92868
2016-12-12;AS;S31;82500;93443;87972
2016-12-12;AW;S1;71066;70221;70644
2016-12-12;AW;S11;9624;7515;8570
2016-12-12;B;S1;75121;84141;79631
2016-12-12;B;S11;5934;3992;4963
2016-12-12;BAF;S1;85647;86107;85877
2016-12-12;BAF;S11;8929;7742;8336
2016-12-12;BAP;S1;91171;102509;96840
2016-12-12;BAP;S11;11092;11872;11482
2016-12-12;BGS;S2;2975;1561;2268
2016-12-12;BGS;S21;51941;57920;54931
2016-12-12;BTSL;S1;85240;87037;86139
2016-12-12;BTSL;S11;10667;11382;11025
2016-12-12;BTSL;S2;3633;3797;3715
2016-12-12;BTSL;S21;61919;60766;61343
2016-12-12;BTSL;S31;16941;15286;16114
2016-12-12;BWM;S2;2325;2603;2464
2016-12-12;BWM;S21;41042;46503;43773
2016-12-12;BX;S3;31111;28413;29762
2016-12-12;DR;S3;11902;9130;10516
2016-12-12;DST;S11;12210;11788;11999
2016-12-12;DST;S21;56188;62703;59446
2016-12-12;DST;S31;161251;158156;159704
2016-12-12;DT;S21;39601;43575;41588
2016-12-12;DT;S3;55908;72683;64296
2016-12-12;EGS;S21;31325;31778;31552
2016-12-12;EGS;S3;64475;65648;65062
2016-12-12;EST;S21;47012;41305;44159
2016-12-12;EST;S3;54658;62963;58811
2016-12-12;FB;S1;69998;76637;73318
2016-12-12;FB;S11;6860;6532;6696
2016-12-12;FBG;S1;77014;80725;78870
2016-12-12;FBG;S11;9994;9265;9630
2016-12-12;FIB;S3;20981;17634;19308
2016-12-12;HAB;S3;77860;77498;77679
2016-12-12;HAB;S31;114734;118547;116641
2016-12-12;HCH;S1;25830;29454;27642
2016-12-12;HCH;S11;3129;3824;3477
2016-12-12;HFS;S3;75793;82381;79087
2016-12-12;HFS;S31;39830;42046;40938
2016-12-12;HKS;S3;43798;47337;45568
2016-12-12;HOG;S3;15055;15328;15192
2016-12-12;HPS;S1;44453;55828;50141
2016-12-12;HPS;S11;4971;4191;4581
