Timestamp;Station;Linie;Einsteiger;Aussteiger;Avg
2017-01-30;ABG;S3;82140;86772;84456
2017-01-30;AH;S2;10;2386;1198
2017-01-30;AH;S21;232655;239766;236211
2017-01-30;AI;S1;420183;415447;417815
2017-01-30;ALH;S2;66652;61292;63972
2017-01-30;ALH;S21;720386;779794;750090
2017-01-30;AS;S1;2179558;2242416;2210987
2017-01-30;AS;S11;180644;207753;194199
2017-01-30;AS;S2;31141;46374;38758
2017-01-30;AS;S21;12927;15301;14114
2017-01-30;AS;S3;939416;1053262;996339
2017-01-30;AS;S31;1051627;1109565;1080596
2017-01-30;AW;S1;1344639;1372833;1358736
2017-01-30;AW;S11;131309;115846;123578
2017-01-30;AW;S21;126;1285;706
2017-01-30;B;S1;1442737;1559233;1500985
2017-01-30;B;S11;82271;84301;83286
2017-01-30;BAF;S1;1669554;1672654;1671104
2017-01-30;BAF;S11;163628;155352;159490
2017-01-30;BAF;S21;113;2;58
2017-01-30;BAP;S1;1733062;1843956;1788509
2017-01-30;BAP;S11;163739;192523;178131
2017-01-30;BAP;S21;623;2211;1417
2017-01-30;BGS;S2;44373;37491;40932
2017-01-30;BGS;S21;756124;788993;772559
2017-01-30;BTSL;S1;1668940;1722890;1695915
2017-01-30;BTSL;S11;171435;180133;175784
2017-01-30;BTSL;S2;62628;73849;68239
2017-01-30;BTSL;S21;853005;865733;859369
2017-01-30;BTSL;S31;220190;221521;220856
2017-01-30;BWM;S2;49219;47791;48505
2017-01-30;BWM;S21;585962;618701;602332
2017-01-30;BX;S3;326385;323282;324834
2017-01-30;DR;S3;108478;92464;100471
2017-01-30;DST;S11;179990;182720;181355
2017-01-30;DST;S21;810255;867345;838800
2017-01-30;DST;S31;1720623;1623422;1672023
2017-01-30;DT;S2;960;988;974
2017-01-30;DT;S21;637356;606914;622135
2017-01-30;DT;S3;567264;708959;638112
2017-01-30;EGS;S2;8;1371;690
2017-01-30;EGS;S21;433054;467940;450497
2017-01-30;EGS;S3;655065;669266;662166
2017-01-30;EST;S2;234;1301;768
2017-01-30;EST;S21;636608;554011;595310
2017-01-30;EST;S3;573606;664139;618873
2017-01-30;FB;S1;1447157;1486272;1466715
2017-01-30;FB;S11;109966;112331;111149
2017-01-30;FBG;S1;1624570;1573216;1598893
2017-01-30;FBG;S11;160909;159413;160161
2017-01-30;FBG;S21;536;1136;836
2017-01-30;FIB;S3;228719;183551;206135
2017-01-30;HAB;S21;1106;833;970
2017-01-30;HAB;S3;879806;849414;864610
2017-01-30;HAB;S31;1279817;1287369;1283593
2017-01-30;HCH;S1;518783;586144;552464
2017-01-30;HCH;S11;46659;58528;52594
2017-01-30;HCH;S21;7;630;319
2017-01-30;HFS;S21;2;313;158
2017-01-30;HFS;S3;815761;860455;838108
2017-01-30;HFS;S31;415099;404730;409915
2017-01-30;HKS;S21;3;3;3
2017-01-30;HKS;S3;456047;460778;458413
2017-01-30;HOG;S3;167520;173396;170458
2017-01-30;HPS;S1;909153;1002231;955692
2017-01-30;HPS;S11;91648;79987;85818
2017-01-30;HRF;S21;262;864;563
2017-01-30;HRF;S3;953746;988361;971054
2017-01-30;HRF;S31;968341;1140984;1054663
2017-01-30;HRS;S21;590;929;760
2017-01-30;HRS;S3;964233;935414;949824
2017-01-30;HRS;S31;1327835;1351904;1339870
2017-01-30;HS;S1;2256673;2392512;2324593
2017-01-30;HS;S11;213268;220553;216911
2017-01-30;HS;S2;85977;86837;86407
2017-01-30;HS;S21;996633;1136612;1066623
2017-01-30;HS;S3;888617;936060;912339
2017-01-30;HS;S31;1924660;2024259;1974460
2017-01-30;HSB;S1;1640867;1665276;1653072
2017-01-30;HSB;S11;164041;169012;166527
2017-01-30;HSB;S21;632;1337;985
2017-01-30;HST;S11;188184;162904;175544
2017-01-30;HST;S21;743562;858879;801221
2017-01-30;HST;S31;1690967;1631514;1661241
2017-01-30;IS;S1;868204;901820;885012
2017-01-30;JUS;S1;1884841;1953766;1919304
2017-01-30;JUS;S2;71274;69792;70533
2017-01-30;JUS;S21;1018;1362;1190
2017-01-30;JUS;S3;1001339;1064221;1032780
2017-01-30;KRS;S21;217;3;110
2017-01-30;KRS;S3;409356;441418;425387
2017-01-30;KS;S1;1470749;1668372;1569561
2017-01-30;KS;S2;62001;33912;47957
2017-01-30;KS;S21;912;713;813
2017-01-30;KS;S3;756294;816427;786361
2017-01-30;KWS;S1;658092;696142;677117
2017-01-30;KWS;S11;63891;77193;70542
2017-01-30;KWS;S21;387;604;496
2017-01-30;LAN;S1;1615167;1679386;1647277
2017-01-30;LAN;S11;169201;171137;170169
2017-01-30;LAN;S21;1061;1164;1113
2017-01-30;LAS;S1;1566360;1615255;1590808
2017-01-30;LAS;S2;56877;63526;60202
2017-01-30;LAS;S21;818;1159;989
2017-01-30;LAS;S3;793772;805227;799500
2017-01-30;LST;S2;1608;1247;1428
2017-01-30;LST;S21;610316;529322;569819
2017-01-30;LST;S3;567865;680534;624200
2017-01-30;ML;S2;46503;57559;52031
2017-01-30;ML;S21;570679;629276;599978
2017-01-30;NL;S3;105454;88840;97147
2017-01-30;NRS;S21;1;69;35
2017-01-30;NRS;S3;643881;653938;648910
2017-01-30;NRS;S31;234814;285698;260256
2017-01-30;NTB;S2;65104;71326;68215
2017-01-30;NTB;S21;808700;788332;798516
2017-01-30;NWF;S3;354062;353585;353824
2017-01-30;NWS;S21;1;1;1
2017-01-30;NWS;S3;786678;828186;807432
2017-01-30;NWS;S31;387289;304032;345661
2017-01-30;OH;S1;1656229;1653550;1654890
2017-01-30;OH;S11;139552;129120;134336
2017-01-30;OH;S21;215;1;108
2017-01-30;OPS;S1;1845346;1848844;1847095
2017-01-30;OPS;S11;150333;182922;166628
2017-01-30;OPS;S21;192;1652;922
2017-01-30;PB;S1;549244;587268;568256
2017-01-30;PB;S11;80671;68821;74746
2017-01-30;PB;S21;219;808;514
2017-01-30;PS;S21;240;3;122
2017-01-30;PS;S3;340409;377290;358850
2017-01-30;RBK;S2;338;1914;1126
2017-01-30;RBK;S21;368417;355544;361981
2017-01-30;RES;S1;1753686;1667424;1710555
2017-01-30;RES;S2;64071;45332;54702
2017-01-30;RES;S21;1408;1169;1289
2017-01-30;RES;S3;753268;875543;814406
2017-01-30;RI;S1;875672;900345;888009
2017-01-30;ROP;S2;53604;50333;51969
2017-01-30;ROP;S21;670067;713310;691689
2017-01-30;RP;S1;1678997;1618676;1648837
2017-01-30;RP;S11;161283;164789;163036
2017-01-30;RP;S21;337;1436;887
2017-01-30;SDF;S1;751933;784949;768441
2017-01-30;SHS;S1;1523015;1679649;1601332
2017-01-30;SHS;S2;61813;56286;59050
2017-01-30;SHS;S21;1369;608;989
2017-01-30;SHS;S3;779944;821480;800712
2017-01-30;SST;S11;163062;190724;176893
2017-01-30;SST;S21;732178;777042;754610
2017-01-30;SST;S31;1577060;1608979;1593020
2017-01-30;ST;S3;114371;115169;114770
2017-01-30;STS;S2;585;1261;923
2017-01-30;STS;S21;619616;510010;564813
2017-01-30;STS;S3;617218;741423;679321
2017-01-30;THS;S21;272;115;194
2017-01-30;THS;S3;422375;458340;440358
2017-01-30;TK;S2;52931;52341;52636
2017-01-30;TK;S21;534291;590909;562600
2017-01-30;VLS;S21;855;1259;1057
