Timestamp;Station;Linie;Einsteiger;Aussteiger;Avg
2016-12-10;ABG;S3;60;3;32
2016-12-10;AH;S21;1729;1110;1420
2016-12-10;AI;S1;4240;4207;4224
2016-12-10;ALH;S2;0;0;0
2016-12-10;ALH;S21;6592;5956;6274
2016-12-10;AS;S1;16886;18004;17445
2016-12-10;AS;S11;0;0;0
2016-12-10;AS;S2;0;0;0
2016-12-10;AS;S3;10348;10235;10292
2016-12-10;AS;S31;10304;10282;10293
2016-12-10;AW;S1;11687;9783;10735
2016-12-10;AW;S11;0;0;0
2016-12-10;B;S1;11540;13658;12599
2016-12-10;B;S11;0;0;0
2016-12-10;BAF;S1;11724;12722;12223
2016-12-10;BAF;S11;0;0;0
2016-12-10;BAP;S1;14429;16342;15386
2016-12-10;BAP;S11;0;0;0
2016-12-10;BGS;S2;0;0;0
2016-12-10;BGS;S21;5952;7158;6555
2016-12-10;BTSL;S1;11707;13581;12644
2016-12-10;BTSL;S11;0;0;0
2016-12-10;BTSL;S2;0;0;0
2016-12-10;BTSL;S21;6557;7638;7098
2016-12-10;BTSL;S31;3742;4569;4156
2016-12-10;BWM;S2;0;0;0
2016-12-10;BWM;S21;3140;6058;4599
2016-12-10;BX;S3;1166;346;756
2016-12-10;DR;S3;115;274;195
2016-12-10;DST;S11;0;0;0
2016-12-10;DST;S21;7315;6550;6933
2016-12-10;DST;S31;14409;14786;14598
2016-12-10;DT;S21;4609;5870;5240
2016-12-10;DT;S3;4415;8382;6399
2016-12-10;EGS;S21;4236;4605;4421
2016-12-10;EGS;S3;7204;7457;7331
2016-12-10;EST;S21;7750;4052;5901
2016-12-10;EST;S3;7282;7472;7377
2016-12-10;FB;S1;12722;11352;12037
2016-12-10;FB;S11;0;0;0
2016-12-10;FBG;S1;13190;13034;13112
2016-12-10;FBG;S11;0;0;0
2016-12-10;FIB;S3;634;519;577
2016-12-10;HAB;S3;9164;8596;8880
2016-12-10;HAB;S31;7796;10077;8937
2016-12-10;HCH;S1;4146;5206;4676
2016-12-10;HCH;S11;0;0;0
2016-12-10;HFS;S3;7911;9306;8609
2016-12-10;HFS;S31;0;0;0
2016-12-10;HKS;S3;6456;5824;6140
2016-12-10;HOG;S3;310;115;213
2016-12-10;HPS;S1;6266;8366;7316
2016-12-10;HPS;S11;0;0;0
2016-12-10;HRF;S3;8374;9453;8914
2016-12-10;HRF;S31;4302;4869;4586
2016-12-10;HRS;S3;8613;10940;9777
2016-12-10;HRS;S31;9421;8443;8932
2016-12-10;HS;S1;19294;16831;18063
2016-12-10;HS;S11;0;0;0
2016-12-10;HS;S2;0;0;0
2016-12-10;HS;S21;8208;10830;9519
2016-12-10;HS;S3;7770;11898;9834
2016-12-10;HS;S31;18316;17920;18118
2016-12-10;HSB;S1;11641;13007;12324
2016-12-10;HSB;S11;0;0;0
2016-12-10;HST;S11;0;0;0
2016-12-10;HST;S21;6402;9102;7752
2016-12-10;HST;S31;15621;15092;15357
2016-12-10;IS;S1;6822;5908;6365
2016-12-10;JUS;S1;16748;18089;17419
2016-12-10;JUS;S2;0;0;0
2016-12-10;JUS;S3;8959;11449;10204
2016-12-10;KRS;S3;4819;5899;5359
2016-12-10;KS;S1;10067;13679;11873
2016-12-10;KS;S2;0;0;0
2016-12-10;KS;S3;9417;8728;9073
2016-12-10;KWS;S1;7062;7219;7141
2016-12-10;KWS;S11;0;0;0
2016-12-10;LAN;S1;14979;15039;15009
2016-12-10;LAN;S11;0;0;0
2016-12-10;LAS;S1;12082;13300;12691
2016-12-10;LAS;S2;0;0;0
2016-12-10;LAS;S3;9581;8619;9100
2016-12-10;LST;S21;6007;4890;5449
2016-12-10;LST;S3;5774;7020;6397
2016-12-10;ML;S2;0;0;0
2016-12-10;ML;S21;3830;4959;4395
2016-12-10;NL;S3;216;217;217
2016-12-10;NRS;S3;6439;6563;6501
2016-12-10;NRS;S31;0;0;0
2016-12-10;NTB;S2;0;0;0
2016-12-10;NTB;S21;7377;7136;7257
2016-12-10;NWF;S3;1451;539;995
2016-12-10;NWS;S3;8790;6138;7464
2016-12-10;NWS;S31;0;0;0
2016-12-10;OH;S1;12853;14617;13735
2016-12-10;OH;S11;0;0;0
2016-12-10;OPS;S1;14696;13539;14118
2016-12-10;OPS;S11;0;0;0
2016-12-10;PB;S1;3721;5754;4738
2016-12-10;PB;S11;0;0;0
2016-12-10;PS;S3;4251;4935;4593
2016-12-10;RBK;S21;2406;2154;2280
2016-12-10;RES;S1;15387;16928;16158
2016-12-10;RES;S2;0;0;0
2016-12-10;RES;S3;8835;9467;9151
2016-12-10;RI;S1;6878;6743;6811
2016-12-10;ROP;S2;0;0;0
2016-12-10;ROP;S21;5293;4764;5029
2016-12-10;RP;S1;13285;13033;13159
2016-12-10;RP;S11;0;0;0
2016-12-10;SDF;S1;4236;5416;4826
2016-12-10;SHS;S1;12784;12337;12561
2016-12-10;SHS;S2;0;0;0
2016-12-10;SHS;S3;8607;9549;9078
2016-12-10;SST;S11;0;0;0
2016-12-10;SST;S21;6633;7031;6832
2016-12-10;SST;S31;15648;14942;15295
2016-12-10;ST;S3;15;209;112
2016-12-10;STS;S21;6476;5887;6182
2016-12-10;STS;S3;5705;8032;6869
2016-12-10;THS;S3;6018;6050;6034
2016-12-10;TK;S2;0;0;0
2016-12-10;TK;S21;3516;5703;4610
2016-12-10;VLS;S3;8816;10002;9409
2016-12-10;VLS;S31;7845;7589;7717
2016-12-10;WBS;S1;6978;6731;6855
2016-12-10;WBS;S11;0;0;0
2016-12-10;WCH;S1;14925;14744;14835
2016-12-10;WCH;S11;0;0;0
2016-12-10;WFS;S3;6909;10283;8596
2016-12-10;WFS;S31;7041;8148;7595
2016-12-10;WL;S1;5185;3289;4237
2016-12-10;WLF;S21;1559;1485;1522
2016-12-11;ABG;S3;230;222;226
2016-12-11;AH;S21;1237;1292;1265
2016-12-11;AI;S1;2240;2134;2187
2016-12-11;ALH;S2;0;0;0
2016-12-11;ALH;S21;4019;3683;3851
2016-12-11;AS;S1;12195;12743;12469
2016-12-11;AS;S11;0;0;0
2016-12-11;AS;S2;0;0;0
2016-12-11;AS;S3;7434;7498;7466
2016-12-11;AS;S31;258;610;434
2016-12-11;AW;S1;7115;8133;7624
2016-12-11;AW;S11;0;0;0
2016-12-11;B;S1;8709;8278;8494
2016-12-11;B;S11;0;0;0
2016-12-11;BAF;S1;9646;9209;9428
2016-12-11;BAF;S11;0;0;0
2016-12-11;BAP;S1;10405;11052;10729
2016-12-11;BAP;S11;0;0;0
2016-12-11;BGS;S2;0;0;0
2016-12-11;BGS;S21;4558;4760;4659
2016-12-11;BTSL;S1;9991;9951;9971
2016-12-11;BTSL;S11;0;0;0
2016-12-11;BTSL;S2;0;0;0
2016-12-11;BTSL;S21;2581;3148;2865
2016-12-11;BTSL;S31;271;103;187
2016-12-11;BWM;S2;0;0;0
2016-12-11;BWM;S21;1206;1764;1485
2016-12-11;BX;S3;1054;1138;1096
2016-12-11;DR;S3;7;406;207
2016-12-11;DST;S11;0;0;0
2016-12-11;DST;S21;3589;3110;3350
2016-12-11;DST;S31;174;53;114
2016-12-11;DT;S21;2474;2709;2592
2016-12-11;DT;S3;1575;3534;2555
2016-12-11;EGS;S21;704;1330;1017
2016-12-11;EGS;S3;3648;3421;3535
2016-12-11;EST;S21;1370;1302;1336
2016-12-11;EST;S3;2850;3818;3334
2016-12-11;FB;S1;8627;7543;8085
2016-12-11;FB;S11;0;0;0
2016-12-11;FBG;S1;9597;9676;9637
2016-12-11;FBG;S11;0;0;0
2016-12-11;FIB;S3;376;319;348
2016-12-11;HAB;S3;8987;8392;8690
2016-12-11;HAB;S31;0;0;0
2016-12-11;HCH;S1;2441;3210;2826
2016-12-11;HCH;S11;0;0;0
2016-12-11;HFS;S3;6761;7741;7251
2016-12-11;HFS;S31;0;0;0
2016-12-11;HKS;S3;2444;2587;2516
2016-12-11;HOG;S3;637;1229;933
2016-12-11;HPS;S1;4644;4772;4708
2016-12-11;HPS;S11;0;0;0
2016-12-11;HRF;S3;9543;8516;9030
2016-12-11;HRF;S31;0;0;0
2016-12-11;HRS;S3;9493;10415;9954
2016-12-11;HRS;S31;0;0;0
2016-12-11;HS;S1;13465;13954;13710
2016-12-11;HS;S11;0;0;0
2016-12-11;HS;S2;0;0;0
2016-12-11;HS;S21;5436;5426;5431
2016-12-11;HS;S3;9977;10308;10143
2016-12-11;HS;S31;562;842;702
2016-12-11;HSB;S1;10596;11284;10940
2016-12-11;HSB;S11;0;0;0
2016-12-11;HST;S11;0;0;0
2016-12-11;HST;S21;4167;3674;3921
2016-12-11;HST;S31;420;726;573
2016-12-11;IS;S1;3225;5091;4158
2016-12-11;JUS;S1;12721;11688;12205
2016-12-11;JUS;S2;0;0;0
2016-12-11;JUS;S3;10265;8117;9191
2016-12-11;KRS;S3;2494;2174;2334
2016-12-11;KS;S1;7379;10150;8765
2016-12-11;KS;S2;0;0;0
2016-12-11;KS;S3;5909;7380;6645
2016-12-11;KWS;S1;4215;4536;4376
2016-12-11;KWS;S11;0;0;0
2016-12-11;LAN;S1;9593;11627;10610
2016-12-11;LAN;S11;0;0;0
2016-12-11;LAS;S1;10819;11079;10949
2016-12-11;LAS;S2;0;0;0
2016-12-11;LAS;S3;9232;9907;9570
2016-12-11;LST;S21;996;2849;1923
2016-12-11;LST;S3;3322;4115;3719
2016-12-11;ML;S2;0;0;0
2016-12-11;ML;S21;1828;3229;2529
2016-12-11;NL;S3;375;280;328
2016-12-11;NRS;S3;6070;6196;6133
2016-12-11;NRS;S31;0;0;0
2016-12-11;NTB;S2;0;0;0
2016-12-11;NTB;S21;3101;4220;3661
2016-12-11;NWF;S3;462;1265;864
2016-12-11;NWS;S3;7550;6474;7012
2016-12-11;NWS;S31;0;0;0
2016-12-11;OH;S1;10598;9742;10170
2016-12-11;OH;S11;0;0;0
2016-12-11;OPS;S1;10899;12441;11670
2016-12-11;OPS;S11;0;0;0
2016-12-11;PB;S1;2962;4187;3575
2016-12-11;PB;S11;0;0;0
2016-12-11;PS;S3;1841;2628;2235
2016-12-11;RBK;S21;2370;1749;2060
2016-12-11;RES;S1;12275;11448;11862
2016-12-11;RES;S2;0;0;0
2016-12-11;RES;S3;8224;8669;8447
2016-12-11;RI;S1;4617;3971;4294
2016-12-11;ROP;S2;0;0;0
2016-12-11;ROP;S21;1198;1584;1391
2016-12-11;RP;S1;8300;10567;9434
2016-12-11;RP;S11;0;0;0
2016-12-11;SDF;S1;4118;3357;3738
2016-12-11;SHS;S1;9178;9234;9206
2016-12-11;SHS;S2;0;0;0
2016-12-11;SHS;S3;8366;6043;7205
2016-12-11;SST;S11;0;0;0
2016-12-11;SST;S21;3331;2007;2669
2016-12-11;SST;S31;547;376;462
2016-12-11;ST;S3;307;744;526
2016-12-11;STS;S21;1837;1594;1716
2016-12-11;STS;S3;4671;3336;4004
2016-12-11;THS;S3;2340;3143;2742
2016-12-11;TK;S2;0;0;0
2016-12-11;TK;S21;2948;2702;2825
2016-12-11;VLS;S3;8774;9931;9353
2016-12-11;VLS;S31;0;0;0
2016-12-11;WBS;S1;4107;3949;4028
2016-12-11;WBS;S11;0;0;0
2016-12-11;WCH;S1;9639;10266;9953
2016-12-11;WCH;S11;0;0;0
2016-12-11;WFS;S3;9318;8327;8823
2016-12-11;WFS;S31;0;0;0
2016-12-11;WL;S1;2622;3850;3236
2016-12-11;WLF;S21;1479;1585;1532
2016-12-12;ABG;S3;354;1580;967
2016-12-12;AH;S21;3304;3859;3582
2016-12-12;AI;S1;3187;1584;2386
2016-12-12;ALH;S2;938;557;748
2016-12-12;ALH;S21;8590;8693;8642
2016-12-12;AS;S1;17555;17499;17527
2016-12-12;AS;S11;1038;2196;1617
2016-12-12;AS;S2;933;650;792
2016-12-12;AS;S3;13714;17484;15599
2016-12-12;AS;S31;7444;7946;7695
2016-12-12;AW;S1;12421;9869;11145
2016-12-12;AW;S11;1326;1180;1253
2016-12-12;B;S1;12329;12795;12562
2016-12-12;B;S11;921;122;522
2016-12-12;BAF;S1;13617;12695;13156
2016-12-12;BAF;S11;1100;1110;1105
2016-12-12;BAP;S1;14321;14825;14573
2016-12-12;BAP;S11;1923;1577;1750
2016-12-12;BGS;S2;647;477;562
2016-12-12;BGS;S21;8013;9552;8783
2016-12-12;BTSL;S1;11757;12876;12317
2016-12-12;BTSL;S11;962;2294;1628
2016-12-12;BTSL;S2;976;1265;1121
2016-12-12;BTSL;S21;10711;9444;10078
2016-12-12;BTSL;S31;216;26;121
2016-12-12;BWM;S2;470;648;559
2016-12-12;BWM;S21;6067;7038;6553
2016-12-12;BX;S3;6436;5448;5942
2016-12-12;DR;S3;3057;1431;2244
2016-12-12;DST;S11;1237;1985;1611
2016-12-12;DST;S21;9166;10423;9795
2016-12-12;DST;S31;14523;14860;14692
2016-12-12;DT;S21;6721;7603;7162
2016-12-12;DT;S3;10343;12621;11482
2016-12-12;EGS;S21;4341;5245;4793
2016-12-12;EGS;S3;10022;9671;9847
2016-12-12;EST;S21;7471;7401;7436
2016-12-12;EST;S3;8251;11097;9674
2016-12-12;FB;S1;10541;10343;10442
2016-12-12;FB;S11;1282;1227;1255
2016-12-12;FBG;S1;12875;12076;12476
2016-12-12;FBG;S11;1297;1421;1359
2016-12-12;FIB;S3;3626;3505;3566
2016-12-12;HAB;S3;12032;13753;12893
2016-12-12;HAB;S31;15156;13912;14534
2016-12-12;HCH;S1;5087;5129;5108
2016-12-12;HCH;S11;145;568;357
2016-12-12;HFS;S3;11155;13262;12209
2016-12-12;HFS;S31;8061;9012;8537
2016-12-12;HKS;S3;5661;7476;6569
2016-12-12;HOG;S3;2815;3212;3014
2016-12-12;HPS;S1;6214;8399;7307
2016-12-12;HPS;S11;725;969;847
2016-12-12;HRF;S3;14940;15731;15336
2016-12-12;HRF;S31;12241;15285;13763
2016-12-12;HRS;S3;14866;14473;14670
2016-12-12;HRS;S31;15281;14882;15082
2016-12-12;HS;S1;17038;17553;17296
2016-12-12;HS;S11;1604;1280;1442
2016-12-12;HS;S2;1027;1176;1102
2016-12-12;HS;S21;10288;10856;10572
2016-12-12;HS;S3;11891;14032;12962
2016-12-12;HS;S31;14192;15919;15056
2016-12-12;HSB;S1;12380;13560;12970
2016-12-12;HSB;S11;1758;1046;1402
2016-12-12;HST;S11;1984;1848;1916
2016-12-12;HST;S21;8549;9355;8952
2016-12-12;HST;S31;14150;15101;14626
2016-12-12;IS;S1;5669;4799;5234
2016-12-12;JUS;S1;15649;16542;16096
2016-12-12;JUS;S2;1196;978;1087
2016-12-12;JUS;S3;15819;16919;16369
2016-12-12;KRS;S3;6815;8588;7702
2016-12-12;KS;S1;11891;13967;12929
2016-12-12;KS;S2;895;341;618
2016-12-12;KS;S3;11071;11811;11441
2016-12-12;KWS;S1;5484;6076;5780
2016-12-12;KWS;S11;268;716;492
2016-12-12;LAN;S1;12583;13375;12979
2016-12-12;LAN;S11;1623;2055;1839
2016-12-12;LAS;S1;12917;11784;12351
2016-12-12;LAS;S2;926;780;853
2016-12-12;LAS;S3;11091;10988;11040
2016-12-12;LST;S21;7477;6367;6922
2016-12-12;LST;S3;8370;11132;9751
2016-12-12;ML;S2;345;1001;673
2016-12-12;ML;S21;5715;7697;6706
2016-12-12;NL;S3;1982;1622;1802
2016-12-12;NRS;S3;9531;9005;9268
2016-12-12;NRS;S31;5023;4701;4862
2016-12-12;NTB;S2;680;1066;873
2016-12-12;NTB;S21;9127;9642;9385
2016-12-12;NWF;S3;5456;5425;5441
2016-12-12;NWS;S3;12270;13939;13105
2016-12-12;NWS;S31;5732;5450;5591
2016-12-12;OH;S1;12535;13273;12904
2016-12-12;OH;S11;963;1273;1118
2016-12-12;OPS;S1;15968;14866;15417
2016-12-12;OPS;S11;1318;1575;1447
2016-12-12;PB;S1;4745;4368;4557
2016-12-12;PB;S11;854;643;749
2016-12-12;PS;S3;5378;5953;5666
2016-12-12;RBK;S21;6078;5191;5635
2016-12-12;RES;S1;13316;12481;12899
2016-12-12;RES;S2;402;868;635
2016-12-12;RES;S3;11392;12157;11775
2016-12-12;RI;S1;6776;7056;6916
2016-12-12;ROP;S2;707;491;599
2016-12-12;ROP;S21;7212;7932;7572
2016-12-12;RP;S1;14023;11576;12800
2016-12-12;RP;S11;1217;1806;1512
2016-12-12;SDF;S1;5781;4753;5267
2016-12-12;SHS;S1;9760;12042;10901
2016-12-12;SHS;S2;778;842;810
2016-12-12;SHS;S3;12022;9605;10814
2016-12-12;SST;S11;1502;1465;1484
2016-12-12;SST;S21;7870;9817;8844
2016-12-12;SST;S31;12274;12570;12422
2016-12-12;ST;S3;2461;2038;2250
2016-12-12;STS;S21;6174;6964;6569
2016-12-12;STS;S3;9183;12226;10705
2016-12-12;THS;S3;6411;7374;6893
2016-12-12;TK;S2;1182;1116;1149
2016-12-12;TK;S21;7416;8253;7835
2016-12-12;VLS;S3;12902;13069;12986
2016-12-12;VLS;S31;13974;12158;13066
2016-12-12;WBS;S1;5731;6352;6042
2016-12-12;WBS;S11;707;899;803
2016-12-12;WCH;S1;12061;13026;12544
2016-12-12;WCH;S11;1486;1648;1567
2016-12-12;WFS;S3;13084;14756;13920
2016-12-12;WFS;S31;14403;14923;14663
2016-12-12;WL;S1;4369;4887;4628
2016-12-12;WLF;S21;3329;2963;3146
2016-12-13;ABG;S3;1337;1750;1544
2016-12-13;AH;S21;3877;2970;3424
2016-12-13;AI;S1;4107;4255;4181
2016-12-13;ALH;S2;1038;440;739
2016-12-13;ALH;S21;8763;9066;8915
2016-12-13;AS;S1;19512;20142;19827
2016-12-13;AS;S11;1160;798;979
2016-12-13;AS;S2;61;605;333
2016-12-13;AS;S3;10108;12496;11302
2016-12-13;AS;S31;9292;12900;11096
2016-12-13;AW;S1;11731;12485;12108
2016-12-13;AW;S11;667;986;827
2016-12-13;B;S1;12091;13635;12863
2016-12-13;B;S11;181;392;287
2016-12-13;BAF;S1;15191;15589;15390
2016-12-13;BAF;S11;805;728;767
2016-12-13;BAP;S1;14081;15860;14971
2016-12-13;BAP;S11;1245;716;981
2016-12-13;BGS;S2;701;8;355
2016-12-13;BGS;S21;8840;8401;8621
2016-12-13;BTSL;S1;14565;15071;14818
2016-12-13;BTSL;S11;913;1007;960
2016-12-13;BTSL;S2;646;630;638
2016-12-13;BTSL;S21;9678;9920;9799
2016-12-13;BTSL;S31;433;302;368
2016-12-13;BWM;S2;419;290;355
2016-12-13;BWM;S21;7169;6975;7072
2016-12-13;BX;S3;3980;3132;3556
2016-12-13;DR;S3;750;1104;927
2016-12-13;DST;S11;937;664;801
2016-12-13;DST;S21;8305;8758;8532
2016-12-13;DST;S31;19072;20554;19813
2016-12-13;DT;S21;6019;6585;6302
2016-12-13;DT;S3;7034;8424;7729
2016-12-13;EGS;S21;5129;4866;4998
2016-12-13;EGS;S3;9083;8973;9028
2016-12-13;EST;S21;7870;7897;7884
2016-12-13;EST;S3;8185;8940;8563
2016-12-13;FB;S1;12970;14332;13651
2016-12-13;FB;S11;264;493;379
2016-12-13;FBG;S1;12576;13157;12867
2016-12-13;FBG;S11;464;1140;802
2016-12-13;FIB;S3;3312;1884;2598
2016-12-13;HAB;S3;10422;8577;9500
2016-12-13;HAB;S31;18260;17786;18023
2016-12-13;HCH;S1;3502;4951;4227
2016-12-13;HCH;S11;1;273;137
2016-12-13;HFS;S3;9866;11806;10836
2016-12-13;HFS;S31;7206;5084;6145
2016-12-13;HKS;S3;7051;6568;6810
2016-12-13;HOG;S3;1357;2226;1792
2016-12-13;HPS;S1;7347;9923;8635
2016-12-13;HPS;S11;115;428;272
2016-12-13;HRF;S3;12512;12396;12454
2016-12-13;HRF;S31;14577;15965;15271
2016-12-13;HRS;S3;12445;10408;11427
2016-12-13;HRS;S31;20725;19018;19872
2016-12-13;HS;S1;17004;20951;18978
2016-12-13;HS;S11;1064;1569;1317
2016-12-13;HS;S2;1197;1196;1197
2016-12-13;HS;S21;7635;8629;8132
2016-12-13;HS;S3;12037;10092;11065
2016-12-13;HS;S31;21151;22626;21889
2016-12-13;HSB;S1;13190;13326;13258
2016-12-13;HSB;S11;649;1141;895
2016-12-13;HST;S11;568;477;523
2016-12-13;HST;S21;7494;9561;8528
2016-12-13;HST;S31;17637;18752;18195
2016-12-13;IS;S1;9308;8487;8898
2016-12-13;JUS;S1;17196;18050;17623
2016-12-13;JUS;S2;603;1000;802
2016-12-13;JUS;S3;11502;13534;12518
2016-12-13;KRS;S3;6713;6742;6728
2016-12-13;KS;S1;11737;14311;13024
2016-12-13;KS;S2;165;187;176
2016-12-13;KS;S3;9485;8534;9010
2016-12-13;KWS;S1;5169;5373;5271
2016-12-13;KWS;S11;1;25;13
2016-12-13;LAN;S1;12790;13050;12920
2016-12-13;LAN;S11;1097;903;1000
2016-12-13;LAS;S1;12051;12131;12091
2016-12-13;LAS;S2;486;662;574
2016-12-13;LAS;S3;10100;6712;8406
2016-12-13;LST;S21;6580;6193;6387
2016-12-13;LST;S3;8381;10072;9227
2016-12-13;ML;S2;731;1074;903
2016-12-13;ML;S21;4112;5553;4833
2016-12-13;NL;S3;1163;1068;1116
2016-12-13;NRS;S3;8152;8046;8099
2016-12-13;NRS;S31;4096;3601;3849
2016-12-13;NTB;S2;575;927;751
2016-12-13;NTB;S21;9131;7857;8494
2016-12-13;NWF;S3;5540;4255;4898
2016-12-13;NWS;S3;9955;11310;10633
2016-12-13;NWS;S31;6559;3689;5124
2016-12-13;OH;S1;13013;13994;13504
2016-12-13;OH;S11;354;425;390
2016-12-13;OPS;S1;16822;16164;16493
2016-12-13;OPS;S11;663;583;623
2016-12-13;PB;S1;3370;4671;4021
2016-12-13;PB;S11;1;277;139
2016-12-13;PS;S3;4725;4560;4643
2016-12-13;RBK;S21;7936;6210;7073
2016-12-13;RES;S1;13642;14778;14210
2016-12-13;RES;S2;544;906;725
2016-12-13;RES;S3;8657;10563;9610
2016-12-13;RI;S1;6716;8114;7415
2016-12-13;ROP;S2;53;645;349
2016-12-13;ROP;S21;7612;8100;7856
2016-12-13;RP;S1;12914;14591;13753
2016-12-13;RP;S11;1010;649;830
2016-12-13;SDF;S1;6471;5717;6094
2016-12-13;SHS;S1;12413;14549;13481
2016-12-13;SHS;S2;715;546;631
2016-12-13;SHS;S3;10222;11027;10625
2016-12-13;SST;S11;846;1092;969
2016-12-13;SST;S21;7471;6793;7132
2016-12-13;SST;S31;17019;17790;17405
2016-12-13;ST;S3;1082;1459;1271
2016-12-13;STS;S21;6311;7263;6787
2016-12-13;STS;S3;9845;9508;9677
2016-12-13;THS;S3;6485;7696;7091
2016-12-13;TK;S2;641;1048;845
2016-12-13;TK;S21;5041;5598;5320
2016-12-13;VLS;S3;11935;10424;11180
2016-12-13;VLS;S31;18280;17724;18002
2016-12-13;WBS;S1;6773;5524;6149
2016-12-13;WBS;S11;1;113;57
2016-12-13;WCH;S1;14730;15884;15307
2016-12-13;WCH;S11;728;770;749
2016-12-13;WFS;S3;11017;11200;11109
2016-12-13;WFS;S31;17809;19475;18642
2016-12-13;WL;S1;6293;5430;5862
2016-12-13;WLF;S21;3236;3673;3455
2016-12-14;ABG;S3;1720;1806;1763
2016-12-14;AH;S21;2124;998;1561
2016-12-14;AI;S1;3161;3596;3379
2016-12-14;ALH;S2;3;2;3
2016-12-14;ALH;S21;3528;2706;3117
2016-12-14;AS;S1;17702;19577;18640
2016-12-14;AS;S11;3100;2993;3047
2016-12-14;AS;S2;1;281;141
2016-12-14;AS;S3;12313;14541;13427
2016-12-14;AS;S31;10416;14083;12250
2016-12-14;AW;S1;9672;11505;10589
2016-12-14;AW;S11;2307;1137;1722
2016-12-14;B;S1;11668;14961;13315
2016-12-14;B;S11;1511;1035;1273
2016-12-14;BAF;S1;12435;15995;14215
2016-12-14;BAF;S11;2361;2350;2356
