Timestamp;Einsteiger;Aussteiger;Avg;AbwEin;AbwAus;AbwAvg
2016-12-10;732616;776632;754624;-83835;-67937;-75886
2016-12-11;444857;464497;454677;-371594;-380072;-375833
2016-12-12;938612;986008;962310;122161;141439;131800
2016-12-13;936347;971928;954138;119896;127359;123628
2016-12-14;928777;965699;947238;112326;121130;116728
2016-12-15;886761;918657;902709;70310;74088;72199
2016-12-16;959615;994407;977011;143164;149838;146501
2016-12-17;911398;963688;937543;94947;119119;107033
2016-12-18;737282;767036;752159;-79169;-77533;-78351
2016-12-19;1029296;1072879;1051088;212845;228310;220578
2016-12-20;890345;920325;905335;73894;75756;74825
2016-12-21;735781;761247;748514;-80670;-83322;-81996
2016-12-22;942194;963815;953005;125743;119246;122495
2016-12-23;989748;1019804;1004776;173297;175235;174266
2016-12-24;850526;877896;864211;34075;33327;33701
2016-12-25;740136;801217;770677;-76315;-43352;-59833
2016-12-26;772520;830788;801654;-43931;-13781;-28856
2016-12-27;1005981;1030249;1018115;189530;185680;187605
2016-12-28;994546;1030167;1012357;178095;185598;181847
2016-12-29;1065092;1084810;1074951;248641;240241;244441
2016-12-30;1083438;1105264;1094351;266987;260695;263841
2016-12-31;664316;682971;673644;-152135;-161598;-156866
2017-01-01;703144;763382;733263;-113307;-81187;-97247
2017-01-02;1086086;1132278;1109182;269635;287709;278672
2017-01-03;964137;1002931;983534;147686;158362;153024
2017-01-04;906721;939077;922899;90270;94508;92389
2017-01-05;1058722;1064065;1061394;242271;219496;230884
2017-01-06;1005378;1035533;1020456;188927;190964;189946
2017-01-07;859103;914463;886783;42652;69894;56273
2017-01-08;708762;755922;732342;-107689;-88647;-98168
2017-01-09;1001394;1012217;1006806;184943;167648;176296
2017-01-10;1048913;1082203;1065558;232462;237634;235048
2017-01-11;1241723;1268955;1255339;425272;424386;424829
2017-01-12;1192999;1249942;1221471;376548;405373;390961
2017-01-13;1028569;1058688;1043629;212118;214119;213119
2017-01-14;936266;980466;958366;119815;135897;127856
2017-01-15;706098;749950;728024;-110353;-94619;-102486
2017-01-16;902554;928787;915671;86103;84218;85161
2017-01-17;1146789;1177231;1162010;330338;332662;331500
2017-01-18;882112;930602;906357;65661;86033;75847
2017-01-19;924040;953469;938755;107589;108900;108245
2017-01-20;802910;814087;808499;-13541;-30482;-22011
2017-01-21;505880;526918;516399;-310571;-317651;-314111
2017-01-22;545933;564323;555128;-270518;-280246;-275382
2017-01-23;1071226;1092556;1081891;254775;247987;251381
2017-01-24;998983;1023572;1011278;182532;179003;180768
2017-01-25;1062899;1081713;1072306;246448;237144;241796
2017-01-26;1100863;1134065;1117464;284412;289496;286954
2017-01-27;1123206;1125960;1124583;306755;281391;294073
2017-01-28;920318;966414;943366;103867;121845;112856
2017-01-29;832003;880476;856240;15552;35907;25730
2017-01-30;1083938;1122433;1103186;267487;277864;272676
