Timestamp;Einsteiger;Aussteiger;Avg;AbwEin;AbwAus;AbwAvg
2016-12-05;1182074;1247245;1214660;-4196924;-4317010;-4256967
2016-12-12;6303668;6574382;6439025;924670;1010127;967398
2016-12-19;6187491;6427682;6307587;808493;863427;835960
2016-12-26;6289624;6529519;6409572;910626;965264;937945
2017-01-02;6574805;6827474;6701140;1195807;1263219;1229513
2017-01-09;7159643;7406689;7283166;1780645;1842434;1811539
2017-01-16;5706658;5892711;5799685;327660;328456;328058
2017-01-23;7116648;7308013;7212331;1737650;1743758;1740704
2017-01-30;6387565;6606233;6496899;1008567;1041978;1025272
2017-02-06;6022297;6196990;6109644;643299;632735;638017
2017-02-13;6065624;6251932;6158778;686626;687677;687151
2017-02-20;6092030;6343714;6217872;713032;779459;746245
2017-02-27;6461970;6645886;6553928;1082972;1081631;1082301
2017-03-06;1222056;1273259;1247658;-4156942;-4290996;-4223969
2017-03-13;1635155;1697934;1666545;-3743843;-3866321;-3805082
2017-03-20;6299212;6520918;6410065;920214;956663;938438
2017-03-27;4736444;4841749;4789097;-642554;-722506;-682530
